,Section,Principle
1,The Basic Scrum Process,Every Sprint is the Same Length
2,The Basic Scrum Process,Every Sprint is Four Weeks or Less in Duration
3,The Basic Scrum Process,There are no Breaks Between Sprints
4,The Basic Scrum Process,The Intention of Every Sprint is Potentially Shippableù Software
5,The Basic Scrum Process,Every Sprint includes Sprint Planning
6,The Basic Scrum Process,The Sprint Planning Meeting is Timeboxed to 2 Hours / Week of Sprint Length
7,The Basic Scrum Process,Every Sprint includes Sprint Review for stakeholder feedback on the product
8,The Basic Scrum Process,Every Sprint includes Sprint Retrospective for the team to inspect and adapt
9,The Basic Scrum Process,Review and Retrospective meetings are timeboxed in total to 2 hours / week of Sprint length
10,The Basic Scrum Process,There is no break between Sprint Review and Retrospective meetings
11,The Basic Scrum Process,The Daily Scrum is timeboxed to 15 minutes
12,The Basic Scrum Process,The Daily Scrum occurs every day at the same time of day
13,The Basic Scrum Process,Team Members answer only three questions at the Daily Scrum (no discussion)
14,The Basic Scrum Process,The scope of work for a Sprint is never expanded mid-Sprint (interruptions)
15,The Basic Scrum Process,All stakeholders are invited to attend the demo portion of the Sprint Review
16,The Basic Scrum Process,PBIs have their effort estimated collectively by the team who will be implementing them
17,The Basic Scrum Process,The Scrum Team is no less than five people and no more than eleven people
18,The Basic Scrum Process,"The Scrum Team includes the Product Owner, ScrumMaster and the Team Members"
19,The Basic Scrum Process,The Scrum Team does not include any other people (e.g. a manager who doesn't do tasks)
20,The rules of Scrum related to the Product Backlog,No two Product Backlog Items (PBIs) have the same position in the Product Backlog (ordered)
21,The rules of Scrum related to the Product Backlog,All PBIs are related to a single product (or system)
22,The rules of Scrum related to the Product Backlog,"PBIs are ordered by expected Value (ROI, NIAT, etc)"
23,The rules of Scrum related to the Product Backlog,PBIs are slicesù through our system (features or functions)
24,The rules of Scrum related to the Product Backlog,PBIs are written as User Stories (As a ___ I can ___ so that ___ù)
25,The rules of Scrum related to the Product Backlog,The top PBIs are small enough (effort) that several can fit into a single Sprint
26,The rules of Scrum related to the Product Backlog,"PBIs are invitations to conversations, not detailed specifications"
27,The rules of Scrum related to the Product Backlog,Known defects (external quality) generally are ordered at the top of the Product Backlog to be fixed in the next Sprint
28,The rules of Scrum related to the Product Backlog,The Product Backlog is refined to ensure it is ready for every Sprint Planning meeting
29,The rules of Scrum related to the Product Backlog,"Any stakeholder (e.g. Team Member, salesperson, client) can suggest a new PBI"
30,The rules of Scrum related to the Product Backlog,The Product Backlog is easily visible to every stakeholder (e.g. cards on a wall or an electronic tool with open access)
31,The rules of Scrum related to the Team Member Role,I use Scrum as a tool for product development
32,The rules of Scrum related to the Team Member Role,I am truthful about the internal quality of my product (technical debt)
33,The rules of Scrum related to the Team Member Role,I work with only one Scrum team
34,The rules of Scrum related to the Team Member Role,I am a full-time member of that team (no non-Team Member duties)
